ticker,company,country,industry
1,Prologue,France,"Software"
2,Ekinops SAS,France,"Technology Hardware Equipment"
3,Neuf Cegetel SA,France,"Telecommunication"
4,Societe pour l'Informatique Industrielle,France,"Software"
5,ALTI,France,"Software"
6,Cogelec SACA,France,"Technology Hardware Equipment"
7,Transgene SA,France,"Life Sciences"
8,Artmarket.com,France,"Media Entertainment"
9,DBV Technologies SA,France,"Life Sciences"
10,Colas SA,France,"Capital Goods"
11,ID Logistics Group,France,"Transportation"
12,Entrepose Contracting SA,France,"Capital Goods"
13,Iliad SA,France,"Telecommunication"
14,Areva SA,France,"Capital Goods"
15,Air France-KLM,France,"Transportation"
16,Ubisoft Entertainment SA,France,"Media Entertainment"
17,Valerio Therapeutics,France,"Life Sciences"
18,Marie Brizard Wine & Spirits SA,France,"Food Beverage Tobacco"
19,Archos,France,"Technology Hardware Equipment"
20,Cegedim SA,France,"Health Care Equipment"
21,Safran SA,France,"Capital Goods"
22,Sartorius Stedim Biotech,France,"Life Sciences"
23,Caisse Regionale de Credit Agricole Mutuel de Paris et d'Ile-de-France,France,"Banks"
24,ISPD Network SA,France,"Media Entertainment"
25,Lucibel SA,France,"Capital Goods"
26,Naturex,France,"Food Beverage Tobacco"
27,Oncodesign,France,"Life Sciences"
28,Societe LDC SA,France,"Food Beverage Tobacco"
29,Netmedia Group,France,"Media Entertainment"
30,ReWorld Media SA,France,"Media Entertainment"
31,Gemalto NV,France,"Software"
32,Dassault Systemes SE,France,"Software"
33,Antalis International SAS,France,"Capital Goods"
34,Capgemini SE,France,"Software"
35,Softway Medical SAS,France,"Software"
36,Mersen SA,France,"Capital Goods"
37,PCAS,France,"Life Sciences"
38,Pixium Vision SA,France,"Health Care Equipment"
39,NHOA,France,"Capital Goods"
40,Genomic Vision,France,"Life Sciences"
41,ModeLabs Group SA,France,"Technology Hardware Equipment"
42,Crossject SA,France,"Health Care Equipment"
43,BEL SA,France,"Food Beverage Tobacco"
44,InfoVista SA,France,"Software"
45,Valbiotis SAS,France,"Life Sciences"
46,Stallergenes Greer PLC,France,"Life Sciences"
47,Ausy,France,"Software"
48,Kerlink SACA,France,"Technology Hardware Equipment"
49,Vetoquinol SA,France,"Life Sciences"
50,Inventiva SACA,France,"Life Sciences"
51,Latecoere SACA,France,"Capital Goods"
52,Theradiag SA,France,"Health Care Equipment"
53,Advicenne SACA,France,"Life Sciences"
54,Innate Pharma SA,France,"Life Sciences"
55,Societe Marseillaise du Tunnel Prado-Carenage SA,France,"Transportation"
56,Blockchain Group/The,France,"Software"
57,EuropaCorp,France,"Media Entertainment"
58,Cie du Cambodge,France,"Transportation"
59,NSE,France,"Capital Goods"
60,Haulotte Group SA,France,"Capital Goods"
61,Oberthur Technologies SA,France,"Software"
62,Chargeurs SA,France,"Capital Goods"
63,Delachaux SA,France,"Capital Goods"
64,Logic Instrument,France,"Technology Hardware Equipment"
65,CIBOX INTER@CTIVE SA,France,"Technology Hardware Equipment"
66,Micropole,France,"Software"
67,Ipsen SA,France,"Life Sciences"
68,APRR SA,France,"Transportation"
69,Acteos,France,"Software"
70,Groupe Steria SA,France,"Software"
71,Poxel SA,France,"Life Sciences"
72,SuperSonic Imagine SA,France,"Health Care Equipment"
73,Voyageurs du Monde,France,"Hotels, Restaurants & Consumer"
74,Neurones,France,"Software"
75,Agripower France SA,France,"Capital Goods"
